,Species,W1(importance),W2W1(importance),W8W1(importance),W9W1(importance),W10W1(importance),MeanDecreaseAccuracy,MeanDecreaseGini,Kingdom,Phylum,Class,Order,Family,Genus
28,UBA3263 sp001689615,1.002713709,1.421920505,0,1.002713709,1.002713709,1.643445941,0.08992629,D__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA3263
29,Unclassified_Helicobacteraceae,1.002713709,1.348215706,1.421920505,-1.002713709,0,1.630206671,0.055855856,D__Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Unclassified_Helicobacteraceae
30,Alistipes_A_871400 dispar,1.348215706,1.421920505,0,1.002713709,0,1.614179357,0.057657658,D__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes_A
31,Faecousia sp000434635,0,1.348215706,1.002713709,0,1.002713709,1.59026724,0.053178893,D__Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia
32,Jeotgalicoccus_A_310962 aerolatus,1.421920505,1.746267605,0,0,0,1.582398646,0.055873016,D__Bacteria,Firmicutes_D,Bacilli,Staphylococcales,Salinicoccaceae,Jeotgalicoccus_A
33,CAG-83 sp900545585,0,1.002713709,0,0,1.002713709,1.421920505,0.072844273,D__Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83
34,Muribaculum intestinale,1.002713709,1.002713709,1.002713709,1.002713709,0,1.421920505,0.073350883,D__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum
35,Paramuribaculum sp900551515,1.002713709,1.002713709,0,1.002713709,-1.002713709,1.421920505,0.046642097,D__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum
36,UBA9715 sp902781245,0,1.002713709,1.002713709,0,0,1.421920505,0.022222222,D__Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,UBA9715
37,Unclassified_Bacteria,1.002713709,1.421920505,0,0,0,1.421920505,0.047563278,D__Bacteria,Unclassified_Bacteria,Unclassified_Bacteria,Unclassified_Bacteria,Unclassified_Bacteria,Unclassified_Bacteria
38,Unclassified_Atopobiaceae,1.002713709,0,1.002713709,0,0,1.417686648,0.04024024,D__Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Unclassified_Atopobiaceae
39,Eubacterium_F sp000687695,1.421920505,1.002713709,0,1.002713709,1.002713709,1.416017548,0.102599743,D__Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F
40,Paramuribaculum intestinale,1.421920505,0,1.002713709,1.002713709,0,1.416017548,0.045285285,D__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum
41,Unclassified_C-53,1.421920505,0,-1.002713709,1.421920505,1.002713709,1.416017548,0.095850396,D__Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,C-53
42,Unidentified_Eubacterium_N,1.421920505,0,0,0,0,1.416017548,0.043865684,D__Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_N
43,Alistipes_A_871400 sp002362235,1.002713709,0,1.002713709,1.002713709,1.002713709,1.413129494,0.061513982,D__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes_A
44,CAG-485 sp002362485,0,1.002713709,0,1.002713709,0,1.413129494,0.07027027,D__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485
45,COE1 sp000403335,0,1.002713709,1.002713709,0,0,1.413129494,0.054182754,D__Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1
46,Lactobacillus intestinalis,1.002713709,1.421920505,1.002713709,0,0,1.413129494,0.068777349,D__Bacteria,Firmicutes_D,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
47,Ruminiclostridium_E siraeum,1.002713709,0,0,1.421920505,0,1.413129494,0.125752896,D__Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminiclostridium_E
48,Unclassified_Limosilactobacillus,1.002713709,1.421920505,0,1.002713709,0,1.413129494,0.056061776,D__Bacteria,Firmicutes_D,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
49,Turicimonas muris,0,1.002713709,0,0,1.002713709,1.40747567,0.048481338,D__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A,Turicimonas
50,Unidentified_QWKK01,1.421920505,1.002713709,0.447455529,0,1.002713709,1.394014817,0.046126126,D__Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,QWKK01
